label,text
MANIAC,D 0 2 ( 0 D ) 0 4 2 0 C 0 2 ( 0 C ) 0 6 2 0 8 4 2 8 6 C 0 0 D 2 8 4 2 8 8 0 6 2 4 2 C 0 0 0 6 2 D 4 2 0 0 0 8 6 2 8 4 D 0 0 4 2 8 6 4 D 0 0 2 8 4 2 C 0 0 0 6 8 D C 8 0 0 0 4 6 2 2 2 0 I 0 8 2 C 0 0 0 B 0 8 2 D 4 2 2 2 0 C 6 8 D 4 0 H 0 D 8 2 2 2 0 B 0 8 2 D 0 0 0 B 0 2 8 6 C D 0 0 0 2 8 4 2 C 0 B 0 D 0 C ( 0 8 ) 0 4 2 0 8 0 6 ( 0 C ) 0 8 2 0 D 0 4 ( 0 6 ) 0 C 2 0 8 0 6 ( 0 2 ) 0 D 4 0 C 6 8 2 4 8 8 0 2 D 4 2 8 6 6 0 4 8 2 6 4 4 4 0 D 8 2 C 6 0 0 0 4 8 2 D 4 2 2 0 8 6 4 2 C 6 6 0 2 8 4 C 2 2 2 0 D 4 2 8 6 0 0 0 C D 2 2 2 0 B 0 C 2 8 8 8 0 B 0 8 C D 8 6 6 6 0 D 2 8 4 C 0 B 0 2 8 C 0 0 0 B 0 8 2 C 0 0 0 B 0 2 D 4 8 C 0 0 0 2 8 6 2 D 0 B 0 0 2 0 8 4 D 8 0 0 6 0 4 2 8 6 0 0 C 0 2 4 8 C 0 6 4 2 8 6 0 0 0 0 C 0 2 4 6 2 0 0 8 0 4 6 2 D 0 0 4 0 2 8 6 D 0 2 4 8 C 6 0 I 
MANIAC,B 0 8 0 2 C 6 0 2 0 C 0 4 D C 0 2 0 8 0 4 C 8 0 2 0 6 0 8 2 C 0 6 0 2 0 D 6 D 0 4 0 2 0 8 4 8 0 6 0 2 0 4 2 8 0 6 6 4 0 8 8 2 0 B 0 2 0 D 6 D 0 C 0 8 0 4 2 4 0 8 0 6 0 2 D 2 0 6 0 4 0 2 C 2 0 8 6 8 0 D 4 D 0 2 0 C 0 2 D 4 0 2 0 8 0 6 D 6 0 C 0 8 0 4 2 4 0 6 0 2 0 D 4 2 0 8 6 C D 4 8 2 0 B 0 8 0 0 0 2 0 E 0 6 0 2 0 8 0 0 0 4 0 0 0 2 0 9 0 C 0 8 4 8 0 B 0 K 0 C 0 8 0 4 0 6 0 2 0 8 0 4 0 D 0 8 0 2 0 C 6 2 0 8 4 D 0 F 0 6 0 2 8 4 0 1 0 8 0 6 D 2 0 C 6 4 0 8 2 C 0 I 0 2 0 8 6 8 0 1 0 3 0 4 0 2 0 8 0 6 0 C 0 D 0 4 8 2 0 6 8 2 0 C 6 2 8 4 2 8 0 B 0 0 0 2 0 0 0 D 0 0 0 8 
MANIAC,4 0 2 0 8 2 6 0 8 0 B 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 2 0 0 0 4 2 0 0 4 0 0 0 6 0 8 2 4 0 8 0 2 0 6 8 6 2 6 4 B 0 8 8 4 0 4 4 2 0 2 2 6 0 6 6 8 0 8 8 6 0 6 6 2 0 2 2 4 0 4 8 A 0 8 6 4 2 6 0 0 0 8 0 4 0 0 0 6 0 4 0 0 0 8 0 4 6 8 0 4 0 2 0 6 4 8 0 0 4 2 0 0 6 8 6 2 2 8 0 0 4 6 0 4 0 2 0 8 2 6 0 8 0 B 0 4 2 0 0 6 0 2 0 2 4 8 0 8 6 2 0 0 8 2 0 6 0 2 0 8 2 4 0 8 0 B 0 6 2 0 0 4 0 2 0 2 6 8 0 8 4 7 0 0 2 8 0 2 0 4 0 2 6 4 0 6 0 A 0 8 4 0 0 6 0 2 0 2 4 8 0 8 6 2 0 0 8 2 0 8 0 6 0 2 4 6 0 4 0 A 0 8 6 0 0 4 0 2 0 2 6 8 0 8 4 7 0 0 2 8 0 4 0 2 0 8 2 6 0 8 0 B 0 4 2 0 0 6 8 0 0 0 2 4 8 6 4 2 0 0 8 A 0 0 4 B 0 0 2 8 6 4 8 2 
MANIAC,D 0 2 0 8 4 2 0 8 0 B 0 D 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 C 0 2 0 0 0 8 6 0 0 4 0 0 0 D 0 2 6 4 0 2 0 8 0 6 C 6 8 6 4 2 0 8 8 6 0 C 0 2 0 2 2 4 0 4 4 6 0 D 0 4 0 4 4 2 0 2 2 8 0 8 6 6 0 2 D 4 2 8 0 0 0 6 0 4 0 0 0 D 0 C 0 0 0 8 0 4 6 8 0 2 0 4 0 6 C 8 0 0 4 2 0 0 8 6 8 2 2 4 0 0 D C 0 2 0 8 0 6 2 8 0 4 0 1 0 C 6 0 0 2 0 D 0 D 4 8 0 8 2 6 0 0 8 2 0 C 0 2 0 8 6 4 0 8 0 3 0 6 2 0 0 4 0 2 0 C 6 8 0 8 D 2 0 0 2 8 0 4 0 D 0 8 6 2 0 8 0 B 0 C 2 0 0 8 0 6 0 6 4 8 0 8 C 2 0 0 8 6 0 8 0 D 0 C 8 4 0 2 0 H 0 8 2 0 0 4 0 8 0 8 C D 0 D 2 6 0 0 4 2 0 8 0 6 0 C 2 8 0 6 0 G 0 4 2 0 0 6 8 0 0 0 2 4 8 2 D 4 0 0 2 A 0 0 6 B 0 0 2 D 4 2 C 6 
MANIAC,8 0 2 0 0 0 6 0 6 0 6 6 6 0 8 0 8 0 8 8 8 0 4 0 4 0 4 4 4 0 2 0 2 0 2 2 2 0 8 0 6 0 2 0 2 0 6 0 2 0 4 0 4 0 2 0 4 0 8 0 8 0 4 0 8 0 6 0 6 0 6 0 2 0 B 0 2 0 A 0 6 0 4 0 1 4 4 0 2 0 B 0 2 0 A 0 4 0 6 0 3 6 6 0 7 0 2 0 6 2 4 0 2 0 B 0 8 0 4 0 9 0 2 0 4 2 6 0 2 0 B 0 8 0 8 0 6 0 2 0 4 8 6 0 2 0 4 0 8 6 2 0 4 0 8 0 6 2 4 0 8 0 6 0 2 0 0 0 8 0 2 0 0 0 8 0 6 0 4 0 2 4 6 0 2 0 8 0 4 8 2 0 4 0 6 0 8 6 4 0 8 0 2 0 6 2 3 0 8 0 6 0 2 4 1 0 8 0 4 0 2 6 9 0 8 0 6 0 2 0 7 0 8 0 4 0 2 0 9 0 1 0 8 0 2 0 6 0 2 0 8 2 4 0 7 0 3 0 8 0 2 0 4 0 2 0 8 2 6 0 4 0 8 0 6 0 8 0 4 0 2 0 6 8 2 0 9 0 2 0 1 0 8 0 A 0 B 0 4 2 6 0 6 0 8 0 4 0 8 0 6 0 2 0 4 8 2 0 7 0 2 0 3 0 8 0 A 0 B 0 6 2 4 0 8 0 4 0 2 0 6 8 4 0 2 0 6 0 8 4 2 0 6 0 8 0 4 2 6 0 8 0 4 0 2 
MANIAC,D 0 C 0 0 0 6 0 6 0 6 6 6 0 8 0 8 0 8 8 8 0 4 0 4 0 4 4 4 0 2 0 2 0 2 2 2 0 C 0 6 0 2 0 2 0 D 0 2 0 4 0 4 0 2 0 C 0 8 0 8 0 4 0 8 0 6 0 6 0 D 0 2 0 B 0 2 0 A 0 6 0 4 0 F 0 0 0 2 0 B 0 2 0 A 0 4 0 6 0 J 0 0 0 7 0 2 0 6 2 C 0 2 0 B 0 8 0 C 0 K 0 2 0 C 2 D 0 2 0 B 0 8 0 8 0 D 0 2 0 4 8 C 0 2 0 4 0 8 6 2 0 4 0 8 0 D 2 C 0 8 0 4 0 2 0 0 0 8 0 2 0 0 0 8 0 6 0 C 0 2 4 6 0 2 0 8 0 4 D 2 0 4 0 6 0 8 6 C 0 8 0 2 0 D 2 J 0 8 0 4 0 2 C 2 0 8 0 4 0 2 D 9 0 C 0 D 0 2 0 7 0 8 0 4 0 2 0 H 0 I 0 8 0 2 0 6 0 2 0 8 2 C 0 7 0 3 0 8 0 2 0 4 0 2 0 C 2 D 0 4 0 8 0 6 0 8 0 C 0 2 0 6 8 2 0 L 0 2 0 E 0 8 0 A 0 B 0 4 2 D 0 6 0 8 0 4 0 8 0 D 0 2 0 4 8 2 0 I 0 2 0 B 0 8 0 A 0 B 0 D 2 C 0 8 0 4 0 2 0 6 8 4 0 2 0 6 0 8 C 2 0 6 0 8 0 4 2 6 0 8 0 C 0 D 
ANOTHER,4 0 4 4 4 0 0 0 2 4 4 0 4 4 4 0 4 0 4 0 8 4 2 0 0 0 7 0 B 0 1 0 2 0 4 4 4 2 4 2 2 6 6 0 6 6 6 0 6 0 6 0 8 0 2 0 0 0 9 0 B 0 3 0 6 6 6 6 6 0 0 0 2 4 4 0 4 4 4 0 4 0 4 0 8 4 2 0 0 0 7 0 B 0 1 0 2 0 4 4 4 2 4 2 0 0 B 0 2 4 2 6 0 0 4 0 6 0 4 0 2 0 B 0 2 6 2 4 2 0 2 0 2 0 6 2 2 2 B 0 2 4 2 6 0 0 6 0 4 0 6 0 2 0 B 0 2 6 2 4 0 0 0 0 0 0 0 0 2 6 6 0 6 6 6 0 6 6 6 0 8 0 2 0 0 0 9 0 B 0 3 0 6 6 6 6 6 0 0 0 2 4 4 0 4 4 4 0 4 4 4 0 8 4 2 0 0 0 7 0 B 0 1 0 2 0 4 4 4 2 4 2 0 0 B 0 2 4 4 2 0 0 4 0 6 4 6 0 2 0 B 0 8 6 6 8 6 2 4 2 6 2 4 6 2 2 B 0 8 6 4 2 0 0 6 0 4 6 4 0 2 0 B 0 2 4 6 8 4 2 4 8 6 8 6 3 
MANIAC,4 4 4 4 4 0 0 0 2 4 4 0 4 4 4 0 4 4 4 0 8 4 2 0 0 0 7 0 B 0 1 0 4 2 4 4 4 2 4 1 8 6 6 0 6 6 6 0 6 6 6 0 8 0 2 0 0 0 9 0 B 0 3 0 6 8 6 6 3 0 0 0 8 4 4 0 4 4 4 0 4 4 4 0 8 4 2 0 0 0 7 0 B 0 1 0 2 2 4 6 4 8 4 1 0 4 B 0 2 6 8 4 0 0 4 0 6 4 6 0 2 0 B 0 8 4 2 6 4 4 2 2 6 6 8 4 2 2 B 0 2 6 4 8 0 0 6 0 4 6 4 0 2 0 B 0 2 4 8 2 4 2 4 2 4 2 6 2 2 6 6 0 6 6 3 0 6 6 6 0 8 0 2 0 0 0 9 0 B 0 3 0 6 2 6 4 3 0 0 0 2 4 4 0 4 4 1 0 4 4 1 0 8 4 2 0 0 0 7 0 B 0 1 0 2 2 2 4 4 6 6 3 0 2 B 0 4 2 6 2 0 0 4 4 6 6 4 0 2 0 B 0 8 4 8 6 4 1 2 3 6 9 7 1 2 2 B 0 8 1 6 7 0 0 6 6 4 4 6 0 2 0 B 0 7 9 3 1 7 4 4 B 1 4 4 B 
ANOTHER,D 0 4 4 4 0 0 0 2 C 0 0 4 4 4 0 C 0 C 0 8 4 2 0 0 0 G 0 B 0 1 0 2 0 4 4 4 2 C 2 2 6 6 0 D 0 0 0 6 0 6 0 8 0 2 0 0 0 H 0 I 0 3 0 6 6 6 6 6 0 0 0 2 C 0 0 4 4 4 0 C 0 C 0 8 4 2 0 0 0 M 0 B 0 1 0 2 0 4 4 4 2 C 2 0 0 B 0 2 C 2 D 0 0 4 0 6 0 4 0 2 0 B 0 2 D 2 C 2 0 2 0 2 0 6 2 2 2 B 0 2 4 2 D 0 0 6 0 C 0 D 0 2 0 B 0 2 6 2 C 0 0 0 0 0 0 0 0 2 6 6 0 D 0 0 0 6 6 6 0 8 0 2 0 0 0 H 0 I 0 3 0 6 6 6 6 6 0 0 0 2 C 0 0 4 4 4 0 4 4 4 0 8 C 2 0 0 0 7 0 I 0 3 0 2 0 4 4 4 2 C 2 0 0 B 0 2 C 0 2 0 0 4 0 D 4 D 0 2 0 B 0 8 6 6 8 D 2 4 2 6 2 4 6 2 2 B 0 8 6 4 2 0 0 D 0 C 6 4 0 2 0 B 0 2 4 6 8 4 2 C 8 6 8 D 3 
MANIAC,4 4 4 4 4 0 0 0 2 4 4 0 4 4 4 0 4 4 4 0 8 4 2 0 0 0 G 0 J 0 F 0 4 2 4 4 4 2 4 1 8 6 6 0 6 6 6 0 D 0 0 0 8 0 2 0 0 0 H 0 I 0 G 0 D 8 6 6 3 0 0 0 8 4 4 0 4 4 4 0 4 4 4 0 8 C 2 0 0 0 I 0 G 0 J 0 2 2 4 6 4 8 C 1 0 4 B 0 2 6 8 4 0 0 4 0 D 4 6 0 2 0 B 0 8 4 2 D 4 4 2 2 6 6 8 C 2 2 B 0 2 6 4 8 0 0 D 0 4 6 4 0 2 0 B 0 2 4 D 2 4 2 4 2 4 2 6 2 2 D 0 0 6 6 3 0 6 6 6 0 8 0 2 0 0 0 H 0 I 0 A 0 D 2 6 4 F 0 0 0 2 4 4 0 4 4 1 0 4 4 1 0 8 C 2 0 0 0 I 0 F 0 3 0 2 2 2 D 0 4 4 1 0 2 B 0 C 2 D 2 0 0 4 4 6 6 4 0 2 0 B 0 8 4 8 6 4 1 2 3 6 K 7 1 2 2 H 0 8 1 6 I 0 0 6 6 4 4 6 0 2 0 B 0 7 9 3 I 7 4 4 B F 4 4 B 
